Protein,go_term_type,go_term
Q96DE5,Component,kinetochore
Q96DE5,Component,nucleoplasm
P09525,Component,cell surface
P09525,Component,collagen-containing extracellular matrix
P09525,Component,cytoplasm
P09525,Component,cytosol
P09525,Component,extracellular exosome
P09525,Component,nuclear membrane
P09525,Component,nucleus
P09525,Component,perinuclear region of cytoplasm
P09525,Component,plasma membrane
P09525,Component,vesicle membrane
Q9HDC9,Component,cell surface
Q9HDC9,Component,endoplasmic reticulum
Q9HDC9,Component,integral component of membrane
Q9HDC9,Component,membrane
Q96P48,Component,cytoplasmic vesicle
Q96P48,Component,cytosol
Q96P48,Component,Golgi apparatus
Q96P48,Component,Golgi cisterna membrane
Q96P48,Component,intracellular membrane-bounded organelle
Q96P48,Component,nucleoplasm
Q96P48,Component,plasma membrane
Q96P48,Component,trans-Golgi network
P15514,Component,cell surface
P15514,Component,endoplasmic reticulum membrane
P15514,Component,endoplasmic reticulum-Golgi intermediate compartment membrane
P15514,Component,ER to Golgi transport vesicle membrane
P15514,Component,extracellular space
P15514,Component,Golgi membrane
P15514,Component,integral component of membrane
P15514,Component,nucleus
Q8N1W1,Component,cytosol
Q8N1W1,Component,plasma membrane
O43488,Component,cytosol
O43488,Component,extracellular exosome
O43488,Component,Golgi apparatus
O14791,Component,blood microparticle
O14791,Component,endoplasmic reticulum lumen
O14791,Component,extracellular region
O14791,Component,extracellular space
O14791,Component,high-density lipoprotein particle
O14791,Component,intrinsic component of membrane
O14791,Component,very-low-density lipoprotein particle
P08519,Component,extracellular region
P08519,Component,plasma lipoprotein particle
Q96PS8,Component,integral component of membrane
Q96PS8,Component,plasma membrane
Q13790,Component,extracellular space
Q13790,Component,high-density lipoprotein particle
Q13790,Component,low-density lipoprotein particle
P35626,Component,cytosol
P35626,Component,plasma membrane
Q9NP61,Component,cytosol
Q9NP61,Component,endoplasmic reticulum-Golgi intermediate compartment
Q9NP61,Component,Golgi apparatus
Q9NP61,Component,Golgi membrane
Q9NP61,Component,membrane
Q9NP61,Component,trans-Golgi network
P53367,Component,cytoplasm
P53367,Component,cytosol
P53367,Component,Golgi membrane
P53367,Component,trans-Golgi network membrane
O94989,Component,cytoplasm
O94989,Component,dendrite
Q92888,Component,cytoplasm
Q92888,Component,cytosol
Q92888,Component,plasma membrane
Q9NR81,Component,cytosol
Q9NR81,Component,intracellular
Q03989,Component,nucleolus
Q03989,Component,nucleoplasm
Q03989,Component,nucleus
Q9Y4B4,Component,nucleus
Q9UKJ5,Component,Golgi apparatus
Q9UKJ5,Component,Golgi-associated vesicle
Q9UKJ5,Component,intracellular membrane-bounded organelle
Q9UKJ5,Component,plasma membrane
Q9Y4X5,Component,Cajal body
Q9Y4X5,Component,cytoplasm
Q9Y4X5,Component,cytosol
Q9Y4X5,Component,Lewy body
Q9Y4X5,Component,nuclear body
Q9Y4X5,Component,ubiquitin ligase complex
A2AJT9,Component,mitochondrion
Q92560,Component,cytoplasm
Q92560,Component,cytosol
Q92560,Component,nucleoplasm
Q92560,Component,nucleus
Q92560,Component,PR-DUB complex
Q6W2J9,Component,BCOR complex
Q6W2J9,Component,nucleus
Q00994,Component,cytosol
Q00994,Component,nucleus
Q9BUH8,Component,cytoplasm
Q9BUH8,Component,membrane
Q8NFU1,Component,chloride channel complex
Q8NFU1,Component,cilium
Q8NFU1,Component,plasma membrane
Q8N1M1,Component,chloride channel complex
Q8N1M1,Component,plasma membrane
Q13323,Component,endomembrane system
Q13323,Component,integral component of membrane
Q13323,Component,mitochondrial membrane
Q9Y6D5,Component,asymmetric synapse
Q9Y6D5,Component,axonemal microtubule
Q9Y6D5,Component,cell junction
Q9Y6D5,Component,cytoplasmic vesicle
Q9Y6D5,Component,cytosol
Q9Y6D5,Component,dendritic spine
Q9Y6D5,Component,Golgi membrane
Q9Y6D5,Component,membrane
Q9Y6D5,Component,microtubule organizing center
Q9Y6D5,Component,perinuclear region of cytoplasm
Q9Y6D5,Component,recycling endosome
Q9Y6D5,Component,symmetric synapse
Q9Y6D5,Component,trans-Golgi network
P30411,Component,endosome
P30411,Component,integral component of plasma membrane
P30411,Component,plasma membrane
P11021,Component,cell surface
P11021,Component,cytoplasm
P11021,Component,endoplasmic reticulum
P11021,Component,endoplasmic reticulum chaperone complex
P11021,Component,endoplasmic reticulum lumen
P11021,Component,endoplasmic reticulum membrane
P11021,Component,endoplasmic reticulum-Golgi intermediate compartment
P11021,Component,extracellular exosome
P11021,Component,focal adhesion
P11021,Component,integral component of endoplasmic reticulum membrane
P11021,Component,melanosome
P11021,Component,membrane
P11021,Component,midbody
P11021,Component,mitochondrion
P11021,Component,myelin sheath
P11021,Component,nucleus
P11021,Component,plasma membrane
P11021,Component,protein-containing complex
P11021,Component,smooth endoplasmic reticulum
Q13490,Component,CD40 receptor complex
Q13490,Component,cytoplasm
Q13490,Component,cytoplasmic side of plasma membrane
Q13490,Component,cytosol
Q13490,Component,membrane raft
Q13490,Component,nucleus
Q13490,Component,XY body
Q969J3,Component,BORC complex
Q969J3,Component,cytoplasmic side of lysosomal membrane
Q969J3,Component,intrinsic component of membrane
P30043,Component,cytosol
P30043,Component,extracellular exosome
P30043,Component,nucleoplasm
P30043,Component,plasma membrane
P30043,Component,terminal bouton
P51813,Component,cytosol
P51813,Component,nucleoplasm
P51813,Component,plasma membrane
P51813,Component,ruffle membrane
Q9NP55,Component,extracellular region
Q9NP55,Component,extracellular space
Q6NZY7,Component,cytoplasm
Q6NZY7,Component,cytoskeleton
Q6NZY7,Component,cytosol
Q6NZY7,Component,endomembrane system
Q6NZY7,Component,membrane
Q6NZY7,Component,plasma membrane
Q9BQP9,Component,extracellular region
P38398,Component,BRCA1-A complex
P38398,Component,BRCA1-BARD1 complex
P38398,Component,chromosome
P38398,Component,cytoplasm
P38398,Component,gamma-tubulin ring complex
P38398,Component,lateral element
P38398,Component,nucleoplasm
P38398,Component,nucleus
P38398,Component,plasma membrane
P38398,Component,protein-containing complex
P38398,Component,ribonucleoprotein complex
P38398,Component,ubiquitin ligase complex
Q76B58,Component,dendrite
Q76B58,Component,endoplasmic reticulum
Q76B58,Component,extracellular region
Q76B58,Component,mitochondrion
Q76B58,Component,neuronal cell body
Q5VW32,Component,extracellular exosome
Q5VW32,Component,membrane
Q9HCU9,Component,cytoplasm
Q9HCU9,Component,nucleoplasm
Q9HCU9,Component,nucleus
Q9HCU9,Component,Sin3-type complex
O00481,Component,external side of plasma membrane
O00481,Component,integral component of membrane
O00481,Component,plasma membrane
Q16611,Component,BAK complex
Q16611,Component,cytosol
Q16611,Component,endoplasmic reticulum
Q16611,Component,integral component of mitochondrial outer membrane
Q16611,Component,mitochondrial outer membrane
Q16611,Component,mitochondrion
Q16611,Component,pore complex
Q86Y30,Component,extracellular region
Q86Y29,Component,extracellular region
Q86Y28,Component,extracellular region
Q86Y27,Component,extracellular region
Q6ZW61,Component,cilium
Q8NFJ9,Component,axoneme
Q8NFJ9,Component,BBSome
Q8NFJ9,Component,centrosome
Q8NFJ9,Component,ciliary basal body
Q8NFJ9,Component,ciliary membrane
Q8NFJ9,Component,cytosol
Q96RK4,Component,BBSome
Q96RK4,Component,centriolar satellite
Q96RK4,Component,centriole
Q96RK4,Component,centrosome
Q96RK4,Component,ciliary basal body
Q96RK4,Component,ciliary membrane
Q96RK4,Component,ciliary transition zone
Q96RK4,Component,cilium
Q96RK4,Component,cytosol
Q96RK4,Component,motile cilium
Q96RK4,Component,non-motile cilium
Q96RK4,Component,nucleus
Q96RK4,Component,pericentriolar material
Q96RK4,Component,photoreceptor connecting cilium
Q96RK4,Component,photoreceptor inner segment
Q96RK4,Component,photoreceptor outer segment
P50895,Component,collagen-containing extracellular matrix
P50895,Component,external side of plasma membrane
P50895,Component,extracellular exosome
P50895,Component,extracellular region
P50895,Component,integral component of plasma membrane
P50895,Component,plasma membrane
Q8TDM0,Component,BLOC-1 complex
P54687,Component,cytosol
P54687,Component,mitochondrion
P41182,Component,Golgi apparatus
P41182,Component,nucleoplasm
P41182,Component,nucleus
P11274,Component,cell junction
P11274,Component,cytosol
P11274,Component,extracellular exosome
P11274,Component,glutamatergic synapse
P11274,Component,membrane
P11274,Component,postsynaptic density
P11274,Component,"postsynaptic density, intracellular component"
P11274,Component,postsynaptic membrane
P11274,Component,protein-containing complex
P11274,Component,Schaffer collateral - CA1 synapse
Q9HBH7,Component,cytoplasm
Q9HBH7,Component,nucleus
Q9HBH7,Component,transcription factor complex
O76090,Component,basolateral plasma membrane
O76090,Component,chloride channel complex
O76090,Component,cytosol
O76090,Component,integral component of membrane
O76090,Component,membrane
O76090,Component,plasma membrane
P11511,Component,endoplasmic reticulum
P11511,Component,endoplasmic reticulum membrane
P11511,Component,membrane
Q9H3K6,Component,cytoplasm
Q9H3K6,Component,cytosol
Q9H3K6,Component,nucleus
P12644,Component,endoplasmic reticulum lumen
P12644,Component,extracellular region
P12644,Component,extracellular space
P35226,Component,cytosol
P35226,Component,nuclear body
P35226,Component,nucleoplasm
P35226,Component,nucleus
P35226,Component,PcG protein complex
P35226,Component,PRC1 complex
P35226,Component,ubiquitin ligase complex
O95972,Component,endoplasmic reticulum lumen
O95972,Component,extracellular space
Q8WUW1,Component,cytoskeleton
Q8WUW1,Component,cytosol
Q8WUW1,Component,extracellular exosome
Q8WUW1,Component,lamellipodium
Q8WUW1,Component,SCAR complex
Q6RI45,Component,nucleus
Q96NH3,Component,cilium
Q96NH3,Component,cytoplasm
Q12934,Component,cell cortex
Q12934,Component,intermediate filament
Q12934,Component,plasma membrane
P16278,Component,azurophil granule lumen
P16278,Component,cytoplasm
P16278,Component,extracellular exosome
P16278,Component,extracellular region
P16278,Component,ficolin-1-rich granule lumen
P16278,Component,Golgi apparatus
P16278,Component,intracellular membrane-bounded organelle
P16278,Component,lysosomal lumen
P16278,Component,perinuclear region of cytoplasm
P16278,Component,vacuole
P16442,Component,extracellular region
P16442,Component,Golgi apparatus
P16442,Component,Golgi cisterna membrane
P16442,Component,integral component of membrane
P16442,Component,vesicle
P04798,Component,endoplasmic reticulum membrane
P04798,Component,intracellular membrane-bounded organelle
P04798,Component,mitochondrion
P04798,Component,organelle membrane
Q9UBW5,Component,cell cortex
Q9UBW5,Component,cell junction
Q9UBW5,Component,cell projection
Q9UBW5,Component,extracellular region
Q9UBW5,Component,ficolin-1-rich granule lumen
Q9UBW5,Component,phagocytic cup
Q9UBW5,Component,plasma membrane
Q9UBW5,Component,podosome
Q9UBW5,Component,secretory granule lumen
P16562,Component,extracellular space
P54108,Component,extracellular matrix
P54108,Component,extracellular region
P54108,Component,extracellular space
P54108,Component,specific granule
P54108,Component,specific granule lumen
P54108,Component,tertiary granule lumen
Q6QNY1,Component,axon cytoplasm
Q6QNY1,Component,BLOC-1 complex
Q6QNY1,Component,BORC complex
Q6QNY1,Component,centrosome
Q6QNY1,Component,gamma-tubulin complex
Q6QNY1,Component,lysosomal membrane
Q6QNY1,Component,mitochondrion
Q6QNY1,Component,nucleus
P51451,Component,cytosol
P51451,Component,extrinsic component of cytoplasmic side of plasma membrane
O00327,Component,chromatoid body
O00327,Component,intracellular membrane-bounded organelle
O00327,Component,nucleoplasm
O00327,Component,nucleus
O00327,Component,PML body
O00327,Component,transcription factor complex
O15392,Component,centriole
O15392,Component,chromosome passenger complex
O15392,Component,"chromosome, centromeric region"
O15392,Component,condensed chromosome kinetochore
O15392,Component,cytoplasm
O15392,Component,cytoplasmic microtubule
O15392,Component,cytosol
O15392,Component,interphase microtubule organizing center
O15392,Component,midbody
O15392,Component,nuclear chromosome
O15392,Component,nucleoplasm
O15392,Component,nucleus
O15392,Component,spindle microtubule
Q8WV28,Component,cytoplasm
Q8WV28,Component,cytoplasmic ribonucleoprotein granule
Q8WV28,Component,cytosol
Q8WV28,Component,intracellular
Q8WV28,Component,plasma membrane
Q14137,Component,nucleolus
Q14137,Component,nucleoplasm
Q14137,Component,nucleus
Q14137,Component,PeBoW complex
Q14137,Component,"preribosome, large subunit precursor"
Q14137,Component,ribonucleoprotein complex
Q96FH0,Component,BORC complex
Q96FH0,Component,lysosomal membrane
Q8N4F0,Component,endoplasmic reticulum lumen
Q8N4F0,Component,extracellular exosome
Q8N4F0,Component,extracellular region
O60477,Component,cytoplasm
O60477,Component,dendrite
O60477,Component,endoplasmic reticulum
O60477,Component,neuronal cell body
Q9C0B6,Component,dendrite
Q9C0B6,Component,endoplasmic reticulum
Q9C0B6,Component,extracellular region
Q9C0B6,Component,neuronal cell body
Q9UPA5,Component,axon
Q9UPA5,Component,cell junction
Q9UPA5,Component,cell surface
Q9UPA5,Component,cytoskeleton of presynaptic active zone
Q9UPA5,Component,dendrite
Q9UPA5,Component,excitatory synapse
Q9UPA5,Component,GABA-ergic synapse
Q9UPA5,Component,glutamatergic synapse
Q9UPA5,Component,neuron projection terminus
Q9UPA5,Component,nucleus
Q9UPA5,Component,postsynaptic density
Q9UPA5,Component,presynaptic active zone
Q9UPA5,Component,Schaffer collateral - CA1 synapse
Q9UPA5,Component,synaptic vesicle
Q9UPA5,Component,synaptic vesicle membrane
Q9P203,Component,nucleus
P35613,Component,acrosomal membrane
P35613,Component,axon
P35613,Component,extracellular exosome
P35613,Component,focal adhesion
P35613,Component,Golgi membrane
P35613,Component,integral component of plasma membrane
P35613,Component,intracellular membrane-bounded organelle
P35613,Component,melanosome
P35613,Component,membrane
P35613,Component,membrane raft
P35613,Component,mitochondrion
P35613,Component,plasma membrane
P35613,Component,sarcolemma
Q16520,Component,cytoplasm
Q16520,Component,nucleoplasm
Q16520,Component,nucleus
Q13072,Component,extracellular region
Q8WY36,Component,cytosol
Q8WY36,Component,nucleoplasm
A8MTZ0,Component,BBSome
A8MTZ0,Component,cytoplasm
A8MTZ0,Component,cytosol
Q9H165,Component,cytoplasm
Q9H165,Component,nucleoplasm
Q9H165,Component,nucleus
Q9H165,Component,postsynaptic density
Q9C0K0,Component,neuron projection
Q9C0K0,Component,nucleus
Q9UIG0,Component,condensed chromosome
Q9UIG0,Component,nuclear body
Q9UIG0,Component,nucleoplasm
Q9UIG0,Component,pericentric heterochromatin
Q9UIF9,Component,chromatin silencing complex
Q9UIF9,Component,cytosol
Q9UIF9,Component,nuclear speck
Q9UIF9,Component,nucleolus
Q9UIF9,Component,rDNA heterochromatin
Q9P287,Component,centriole
Q9P287,Component,centrosome
Q9P287,Component,cytosol
Q9P287,Component,mitotic spindle pole
Q9P287,Component,nuclear cyclin-dependent protein kinase holoenzyme complex
Q9P287,Component,nucleoplasm
Q9P287,Component,nucleus
Q96PG8,Component,mitochondrion
Q9H6U6,Component,cell leading edge
Q9H6U6,Component,cell periphery
Q9H6U6,Component,cytoplasm
Q9H6U6,Component,cytoplasmic microtubule
Q9H6U6,Component,intermediate filament cytoskeleton
Q9H6U6,Component,nucleolus
Q9H6U6,Component,nucleus
Q9H6U6,Component,transcriptionally active chromatin
Q9UHQ4,Component,endoplasmic reticulum membrane
Q9UHQ4,Component,integral component of plasma membrane
Q9UHQ4,Component,membrane
O15155,Component,endoplasmic reticulum membrane
O15155,Component,endoplasmic reticulum-Golgi intermediate compartment membrane
O15155,Component,Golgi membrane
O15155,Component,integral component of Golgi membrane
O15155,Component,membrane
O15155,Component,transport vesicle
Q66GS9,Component,centriole
Q66GS9,Component,centrosome
Q66GS9,Component,cytosol
Q5H9J7,Component,cytoplasm
Q6ZP65,Component,centrosome
Q6ZP65,Component,cytoplasm
A1A5D9,Component,cytoplasm
Q6AI39,Component,SWI/SNF complex
P55957,Component,cytosol
P55957,Component,integral component of mitochondrial membrane
P55957,Component,membrane
P55957,Component,mitochondrial outer membrane
P55957,Component,mitochondrion
P53004,Component,cytosol
P53004,Component,extracellular exosome
Q9H694,Component,cytoplasm
Q13075,Component,basolateral plasma membrane
Q13075,Component,cytoplasm
Q96CA5,Component,cytoplasm
Q96CA5,Component,cytosol
Q96CA5,Component,Golgi apparatus
Q96CA5,Component,microtubule organizing center
Q96CA5,Component,nucleus
Q8N9W6,Component,cytoplasm
O95393,Component,cell surface
O95393,Component,cytoplasm
O95393,Component,extracellular region
O95393,Component,extracellular space
O95393,Component,Z disc
O95816,Component,axon
O95816,Component,chaperone complex
O95816,Component,cytosol
O95816,Component,dendrite
O95816,Component,dendritic microtubule
Q92934,Component,cytosol
Q92934,Component,mitochondrial outer membrane
Q92934,Component,mitochondrion
Q9HBU1,Component,nucleus
O15382,Component,mitochondrial matrix
O15382,Component,mitochondrion
Q9BYV7,Component,intracellular
Q9BYV7,Component,mitochondrial matrix
Q9BYV7,Component,mitochondrion
P13073,Component,membrane
P13073,Component,mitochondrial inner membrane
P13073,Component,mitochondrial respiratory chain complex IV
P13073,Component,mitochondrion
P13073,Component,nucleus
Q8N3I7,Component,axoneme
Q8N3I7,Component,BBSome
Q8N3I7,Component,centriolar satellite
Q8N3I7,Component,ciliary basal body
Q8N3I7,Component,ciliary membrane
Q8N3I7,Component,cytosol
Q8N3I7,Component,intracellular
Q8IWZ6,Component,axoneme
Q8IWZ6,Component,BBSome
Q8IWZ6,Component,centrosome
Q8IWZ6,Component,ciliary basal body
Q8IWZ6,Component,ciliary membrane
Q8IWZ6,Component,cytosol
Q8IWZ6,Component,membrane
Q8IWZ6,Component,nucleus
Q8IWZ6,Component,photoreceptor outer segment
Q9BXH1,Component,cytosol
Q9BXH1,Component,endoplasmic reticulum
Q9BXH1,Component,mitochondrial outer membrane
Q9BXH1,Component,mitochondrion
Q8N9N5,Component,nuclear body
Q8N9N5,Component,nucleoplasm
O00512,Component,beta-catenin-TCF complex
O00512,Component,cis-Golgi network
O00512,Component,nucleoplasm
Q5H9F3,Component,nucleoplasm
Q5H9F3,Component,plasma membrane
P10415,Component,cytoplasm
P10415,Component,cytosol
P10415,Component,endoplasmic reticulum
P10415,Component,endoplasmic reticulum membrane
P10415,Component,membrane
P10415,Component,mitochondrial outer membrane
P10415,Component,mitochondrion
P10415,Component,myelin sheath
P10415,Component,nuclear membrane
P10415,Component,nucleoplasm
P10415,Component,nucleus
P10415,Component,pore complex
P10415,Component,protein-containing complex
P20749,Component,Bcl3-Bcl10 complex
P20749,Component,Bcl3/NF-kappaB2 complex
P20749,Component,cytoplasm
P20749,Component,cytosol
P20749,Component,intracellular membrane-bounded organelle
P20749,Component,midbody
P20749,Component,nucleoplasm
P20749,Component,nucleus
P20749,Component,perinuclear region of cytoplasm
P20749,Component,plasma membrane
P20749,Component,protein-containing complex
A6H8Y1,Component,nucleoplasm
A6H8Y1,Component,transcription factor TFIIIB complex
Q7L4P6,Component,Golgi apparatus
Q8N7W2,Component,extracellular exosome
Q3B7T3,Component,integral component of membrane
Q6P575,Component,extracellular space
P08236,Component,azurophil granule lumen
P08236,Component,extracellular exosome
P08236,Component,extracellular region
P08236,Component,extracellular space
P08236,Component,ficolin-1-rich granule lumen
P08236,Component,intracellular membrane-bounded organelle
P08236,Component,lysosomal lumen
P08236,Component,membrane
C9JSJ3,Component,nucleus
Q93088,Component,cytosol
Q93088,Component,extracellular exosome
Q9NQY0,Component,actin filament
Q9NQY0,Component,cytoplasm
P52943,Component,cell cortex
P62952,Component,integral component of membrane
Q14692,Component,90S preribosome
Q14692,Component,nucleolus
Q14692,Component,nucleoplasm
Q14692,Component,nucleus
Q9UQB8,Component,actin cytoskeleton
Q9UQB8,Component,cell-cell adherens junction
Q9UQB8,Component,cytoplasm
Q9UQB8,Component,cytosol
Q9UQB8,Component,dendritic shaft
Q9UQB8,Component,dendritic spine cytoplasm
Q9UQB8,Component,excitatory synapse
Q9UQB8,Component,extracellular exosome
Q9UQB8,Component,filopodium
Q9UQB8,Component,glutamatergic synapse
Q9UQB8,Component,Golgi apparatus
Q9UQB8,Component,microtubule
Q9UQB8,Component,neuron projection branch point
Q9UQB8,Component,neuron projection terminus
Q9UQB8,Component,neuronal cell body
Q9UQB8,Component,nucleoplasm
Q9UQB8,Component,plasma membrane
Q9UQB8,Component,postsynaptic cytosol
Q9UQB8,Component,"postsynaptic density, intracellular component"
Q9UQB8,Component,presynaptic cytosol
Q9UQB8,Component,rough endoplasmic reticulum
Q9UQB8,Component,ruffle
Q9UQB8,Component,Schaffer collateral - CA1 synapse
Q9UQB8,Component,secretory granule
Q9UQB8,Component,synaptic membrane
Q13145,Component,cytoplasm
Q13145,Component,integral component of membrane
Q13145,Component,plasma membrane
Q99728,Component,BRCA1-A complex
Q99728,Component,BRCA1-BARD1 complex
Q99728,Component,cytoplasm
Q99728,Component,cytoplasmic ribonucleoprotein granule
Q99728,Component,nuclear speck
Q99728,Component,nucleoplasm
Q99728,Component,nucleus
Q99728,Component,ubiquitin ligase complex
Q9BZE3,Component,nucleus
Q9NWK9,Component,extracellular exosome
Q9NWK9,Component,nucleus
Q9NWK9,Component,pre-snoRNP complex
Q8TAM1,Component,cilium
Q9HAY6,Component,cytosol
Q9NYF8,Component,cytoplasm
Q9NYF8,Component,nuclear speck
Q9NYF8,Component,nucleoplasm
Q9NYF8,Component,nucleus
Q9NYM9,Component,cytosol
Q9NYM9,Component,endosome
Q9NYM9,Component,Golgi apparatus
Q9NYM9,Component,Golgi membrane
Q9NYM9,Component,integral component of Golgi membrane
Q9NYM9,Component,membrane
Q9NYM9,Component,SNARE complex
Q9UPN4,Component,acrosomal vesicle
Q9UPN4,Component,centriolar satellite
Q9UPN4,Component,centrosome
Q9UPN4,Component,ciliary transition zone
Q9UPN4,Component,cytosol
Q9UPN4,Component,intercellular bridge
Q9UPN4,Component,intracellular membrane-bounded organelle
Q9UPN4,Component,microtubule cytoskeleton
Q9UPN4,Component,microtubule organizing center
Q5T5X7,Component,nuclear heterochromatin
Q5T5X7,Component,nucleolus
Q5T5X7,Component,nucleoplasm
Q13515,Component,cell cortex
Q13515,Component,intermediate filament
Q13515,Component,plasma membrane
P05093,Component,axon
P05093,Component,endoplasmic reticulum
P05093,Component,endoplasmic reticulum membrane
P05093,Component,neuronal cell body
P55061,Component,cytoplasm
P55061,Component,endoplasmic reticulum
P55061,Component,endoplasmic reticulum membrane
P55061,Component,integral component of membrane
P55061,Component,integral component of plasma membrane
P55061,Component,membrane
P55061,Component,mitochondrial membrane
P55061,Component,nucleus
Q7RTU4,Component,cytoplasm
Q7RTU4,Component,nucleus
Q6UXY1,Component,actin cytoskeleton
Q6UXY1,Component,cell-cell contact zone
Q6UXY1,Component,clathrin complex
Q6UXY1,Component,cytoplasmic vesicle membrane
Q6UXY1,Component,cytosol
Q6UXY1,Component,nucleoplasm
Q6UXY1,Component,plasma membrane
Q6UXY1,Component,vesicle membrane
P46663,Component,endoplasmic reticulum
P46663,Component,integral component of plasma membrane
P46663,Component,neuron projection
P46663,Component,plasma membrane
Q8IZY5,Component,cytosol
Q8IZY5,Component,mitochondrion
P78537,Component,axon cytoplasm
P78537,Component,BLOC-1 complex
P78537,Component,BORC complex
P78537,Component,cytosol
P78537,Component,extracellular space
P78537,Component,lysosomal membrane
P78537,Component,mitochondrial intermembrane space
P78537,Component,mitochondrial matrix
Q6QNY0,Component,axon cytoplasm
Q6QNY0,Component,BLOC-1 complex
Q6QNY0,Component,cytosol
Q6QNY0,Component,transport vesicle
Q13489,Component,cytoplasm
Q13489,Component,cytosol
Q13489,Component,membrane raft
Q13489,Component,nucleoplasm
Q13489,Component,nucleus
Q13489,Component,protein-containing complex
P54132,Component,chromosome
P54132,Component,cytoplasm
P54132,Component,cytosol
P54132,Component,lateral element
P54132,Component,nuclear chromosome
P54132,Component,nuclear matrix
P54132,Component,nucleolus
P54132,Component,nucleoplasm
P54132,Component,nucleus
P54132,Component,PML body
P54132,Component,pronucleus
P54132,Component,replication fork
Q99933,Component,cytoplasm
Q99933,Component,cytosol
Q99933,Component,nucleus
O95429,Component,cytosol
O95429,Component,nucleus
O95429,Component,plasma membrane
O00154,Component,cytosol
O00154,Component,extracellular exosome
O00154,Component,mitochondrion
O00154,Component,neuron projection
O00154,Component,nucleoplasm
Q07812,Component,BAX complex
Q07812,Component,Bcl-2 family protein complex
Q07812,Component,cytoplasm
Q07812,Component,cytosol
Q07812,Component,endoplasmic reticulum
Q07812,Component,endoplasmic reticulum membrane
Q07812,Component,extracellular exosome
Q07812,Component,membrane
Q07812,Component,mitochondrial outer membrane
Q07812,Component,mitochondrial permeability transition pore complex
Q07812,Component,mitochondrion
Q07812,Component,nuclear envelope
Q07812,Component,nucleus
Q07812,Component,pore complex
Q9NRL2,Component,ACF complex
Q9NRL2,Component,CHRAC
Q9BXC9,Component,BBSome
Q9BXC9,Component,ciliary basal body
Q9BXC9,Component,ciliary membrane
Q9BXC9,Component,cytosol
Q9BXC9,Component,membrane
Q9BXC9,Component,microvillus
Q9BXC9,Component,motile cilium
Q9BXC9,Component,stereocilium
Q8NFC6,Component,chromosome
Q8NFC6,Component,nucleoplasm
P23560,Component,axon
P23560,Component,cytoplasm
P23560,Component,cytoplasmic vesicle
P23560,Component,dendrite
P23560,Component,extracellular region
P23560,Component,extracellular space
P23560,Component,mitochondrion
P23560,Component,nuclear speck
P23560,Component,perinuclear region of cytoplasm
P23560,Component,synaptic vesicle
Q14457,Component,autophagosome
Q14457,Component,cytosol
Q14457,Component,dendrite
Q14457,Component,endoplasmic reticulum
Q14457,Component,endoplasmic reticulum membrane
Q14457,Component,endosome
Q14457,Component,endosome membrane
Q14457,Component,extrinsic component of membrane
Q14457,Component,mitochondrial membrane
Q14457,Component,nucleus
Q14457,Component,phagocytic vesicle
Q14457,Component,phagophore assembly site
Q14457,Component,"phosphatidylinositol 3-kinase complex, class III"
Q14457,Component,"phosphatidylinositol 3-kinase complex, class III, type I"
Q14457,Component,"phosphatidylinositol 3-kinase complex, class III, type II"
Q14457,Component,trans-Golgi network
Q8NFJ8,Component,nucleus
O00499,Component,actin cytoskeleton
O00499,Component,axon
O00499,Component,axon initial segment
O00499,Component,cytoplasm
O00499,Component,cytosol
O00499,Component,I band
O00499,Component,lipid tube
O00499,Component,membrane
O00499,Component,node of Ranvier
O00499,Component,nuclear envelope
O00499,Component,nucleus
O00499,Component,plasma membrane
O00499,Component,synaptic vesicle
O00499,Component,T-tubule
O00499,Component,Z disc
Q9P021,Component,cell junction
Q9P021,Component,cytoplasm
Q9P021,Component,dendrite
Q9P021,Component,dendritic shaft
Q9P021,Component,dendritic spine
Q9P021,Component,fibrillar center
Q9P021,Component,neuronal cell body
Q9P021,Component,nucleolus
Q9P021,Component,nucleus
Q9P021,Component,postsynaptic density
Q8WZ19,Component,Cul3-RING ubiquitin ligase complex
Q8WZ19,Component,nuclear body
Q8WZ19,Component,nucleus
P56817,Component,axon
P56817,Component,cell surface
P56817,Component,cytoplasmic vesicle membrane
P56817,Component,dendrite
P56817,Component,early endosome
P56817,Component,endoplasmic reticulum lumen
P56817,Component,endosome
P56817,Component,endosome membrane
P56817,Component,Golgi apparatus
P56817,Component,Golgi-associated vesicle lumen
P56817,Component,hippocampal mossy fiber to CA3 synapse
P56817,Component,integral component of membrane
P56817,Component,integral component of plasma membrane
P56817,Component,late endosome
P56817,Component,lysosome
P56817,Component,membrane
P56817,Component,membrane raft
P56817,Component,multivesicular body
P56817,Component,neuronal cell body
P56817,Component,plasma membrane
P56817,Component,recycling endosome
P56817,Component,synaptic vesicle
P56817,Component,trans-Golgi network
Q9Y5Z0,Component,cell surface
Q9Y5Z0,Component,dense core granule
Q9Y5Z0,Component,endoplasmic reticulum
Q9Y5Z0,Component,endosome
Q9Y5Z0,Component,Golgi apparatus
Q9Y5Z0,Component,integral component of membrane
Q9Y5Z0,Component,membrane
Q9Y5Z0,Component,plasma membrane
Q9Y5Z0,Component,trans-Golgi network
Q9UL15,Component,cytosol
Q9UL15,Component,inclusion body
Q9UL15,Component,membrane
Q9UL15,Component,mitochondrion
Q9UL15,Component,nucleus
Q9UL15,Component,perinuclear region of cytoplasm
