Protein,go_term_type,go_term
Q9UPV0,Component,intracellular membrane-bounded organelle
Q9UPV0,Component,nucleoplasm
A6NDU8,Component,cytosol
A6NDU8,Component,nucleoplasm
Q03701,Component,nucleus
Q9HCU4,Component,cytoplasm
Q9HCU4,Component,integral component of membrane
Q9HCU4,Component,plasma membrane
Q711Q0,Component,Z disc
Q16739,Component,Golgi membrane
Q16739,Component,integral component of membrane
Q16739,Component,membrane
Q96LK0,Component,centriole
Q96LK0,Component,centrosome
Q96LK0,Component,ciliary basal body
Q96LK0,Component,cilium
Q96LK0,Component,spindle pole
Q9BS16,Component,condensed chromosome kinetochore
Q9BS16,Component,cytosol
Q9BS16,Component,nucleoplasm
P07199,Component,chromosome
P07199,Component,"chromosome, centromeric region"
P07199,Component,"condensed nuclear chromosome, centromeric region"
P07199,Component,nuclear body
P07199,Component,nuclear pericentric heterochromatin
Q9NYQ6,Component,integral component of membrane
Q9NYQ6,Component,integral component of plasma membrane
Q9NYQ6,Component,nucleoplasm
Q9NYQ6,Component,plasma membrane
Q9BU64,Component,condensed nuclear chromosome kinetochore
Q9BU64,Component,"condensed nuclear chromosome, centromeric region"
Q9BU64,Component,cytosol
Q9BU64,Component,Mis6-Sim4 complex
Q9BU64,Component,nucleoplasm
Q9BU64,Component,nucleus
O15182,Component,centriole
O15182,Component,centrosome
O15182,Component,half bridge of spindle pole body
O15182,Component,nucleolus
O15182,Component,nucleus
O15182,Component,transcription export complex 2
Q6ZQR2,Component,cilium
Q8IZ16,Component,nucleus
Q96MT7,Component,cytoplasm
Q96MT7,Component,cytoskeleton
Q96MT7,Component,motile cilium
Q8N6G5,Component,Golgi cisterna membrane
Q8N6G5,Component,Golgi membrane
Q8N6G5,Component,integral component of Golgi membrane
Q8N6G5,Component,membrane
Q8N1V2,Component,cytoplasm
Q8N1V2,Component,motile cilium
Q96NF6,Component,integral component of membrane
Q5T655,Component,cilium
Q5T655,Component,extracellular space
P61604,Component,extracellular exosome
P61604,Component,membrane
P61604,Component,mitochondrial matrix
P61604,Component,mitochondrion
P09622,Component,acrosomal matrix
P09622,Component,mitochondrial matrix
P09622,Component,mitochondrion
P09622,Component,motile cilium
P09622,Component,myelin sheath
P09622,Component,nucleoplasm
P09622,Component,nucleus
P09622,Component,oxoglutarate dehydrogenase complex
P09622,Component,pyruvate dehydrogenase complex
Q9BUK0,Component,mitochondrial intermembrane space
Q12873,Component,centrosome
Q12873,Component,cytoplasm
Q12873,Component,microtubule organizing center
Q12873,Component,nucleolus
Q12873,Component,nucleoplasm
Q12873,Component,nucleus
Q12873,Component,NuRD complex
Q8TBE1,Component,AMPA glutamate receptor complex
Q8TBE1,Component,cell junction
Q8TBE1,Component,dendritic shaft
Q8TBE1,Component,endoplasmic reticulum membrane
Q8TBE1,Component,endoplasmic reticulum-Golgi intermediate compartment membrane
Q8TBE1,Component,ER to Golgi transport vesicle membrane
Q8TBE1,Component,Golgi membrane
Q8TBE1,Component,postsynaptic membrane
Q8IV77,Component,ciliary membrane
